# t,event_type,mode,packet_id
6.17491,plantreceive,1,308
6.18,plantsend,1,309
6.18953,controllerreceive,1,309
6.19821,plantreceive,1,309
6.2,plantsend,1,310
6.20822,controllerreceive,1,310
6.2171,plantreceive,1,310
6.22,plantsend,1,311
6.22913,controllerreceive,1,311
6.23798,plantreceive,1,311
6.24,plantsend,1,312
6.24808,controllerreceive,1,312
6.2569,plantreceive,1,312
6.26,plantsend,1,313
6.26967,controllerreceive,1,313
6.2786,plantreceive,1,313
6.28,plantsend,1,314
6.2885,controllerreceive,1,314
6.29737,plantreceive,1,314
6.3,plantsend,1,315
6.30962,controllerreceive,1,315
6.31853,plantreceive,1,315
